,Unnamed: 0,Unnamed: 0.1,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,FakeOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
0,0,0,613357772,THChennai,20-06-2012 11:24,145,62144,297,"Chennai, India",0.466666667,0.266666667,1.166666667,9.7,11.7,21157,0,23-04-2019 14:45,298,2498.14,8.469101011,0.34,8.411245791
1,1,30,284920800,news18dotcom,20-04-2011 06:14,75,109825,161,India,0.6,0.933333333,0.333333333,5.366666667,6.366666667,78784,0,23-04-2019 14:45,162,2925.355012,26.93143215,0.72,18.1699069
2,2,60,1943418931,polimernews,07-10-2013 08:07,102,237690,156,Chennai,2.3,1,0,1.7,10.96666667,85765,0,23-04-2019 14:45,157,2024.276875,42.36821606,0.36,12.97613381
3,3,90,7.40815E+17,MalaimurasuTv,09-06-2016 07:58,0,7449,323,"Chennai, India",0,1,0.9,0,0.133333333,38658,0,23-04-2019 14:45,324,1048.283009,36.87744594,5.19,3.245458233
4,4,120,7.77851E+17,newsglitzcom,19-09-2016 12:43,0,1271,1022,0,1.833333333,1.9,1.4,0.4,0.766666667,2482,0,23-04-2019 14:45,1023,946.0846644,2.623443856,1.95,0.92571885
5,5,150,1591105346,tangedconews,13-07-2013 14:12,0,989,118,Tirupur,0,0.466666667,0,0,0.233333333,2100,0,23-04-2019 14:45,119,2110.023183,0.995249729,2.12,17.8815524
7,7,210,4087953322,Arappor,01-11-2015 06:03,23,6727,120,"Chennai, India",0.733333333,0.9,0.533333333,8.566666667,12.36666667,2173,0,23-04-2019 14:45,121,1269.362442,1.711883011,0.32,10.57802035
8,8,240,1073676020,IndiaTodayFLASH,09-01-2013 12:46,62,1105348,118,0,1,0.466666667,1.366666667,10.4,0,210880,0,23-04-2019 14:45,119,2295.08272,91.88339844,0.19,19.44985356
9,9,270,57279305,NatarajIPS,16-07-2009 08:20,159,2686,49,Chennai,0.166666667,0.633333333,0.2,8.1,1.666666667,548,0,23-04-2019 14:45,50,3568.267755,0.153575919,0.2,72.82179091
10,10,300,28995530,vikatan,05-04-2009 14:32,23,535237,13,"Tamilnadu, India",1.466666667,0.966666667,0.033333333,8.3,28.9,116135,0,23-04-2019 14:45,14,3670.009294,31.64433403,0.22,282.3084072
11,11,330,9.22665E+17,fx16pix,24-10-2017 03:25,126,2257,627,"Chennai, India",0.766666667,1.033333333,1.466666667,5.5,34.5,6712,0,23-04-2019 14:45,628,546.4721065,12.28242013,2.97,0.871566358
12,12,360,4889819537,deccanchennai,08-02-2016 21:13,151,520,87,"Chennai, India",1.1,0.566666667,2.566666667,1.9,0,1725,0,23-04-2019 14:45,88,1169.730984,1.474698049,3.32,13.44518372
13,13,390,19519947,DeccanChronicle,26-01-2009 04:16,91,63043,187,India,1.066666667,0.9,0.2,0.7,1.766666667,297998,0,23-04-2019 14:45,188,3739.437222,79.6906011,4.73,19.99699049
14,14,420,245687754,PTI_News,01-02-2011 07:31,35,1931329,1,"New Delhi, India",0.1,0.3,0.133333333,100.0333333,297.3,56116,0,23-04-2019 14:45,2,3003.301701,18.68476949,0.03,3003.301701
15,15,450,442782547,BBCIndia,21-12-2011 13:19,91,131942,343,India,0.3,0.833333333,0.433333333,254.2333333,17.13333333,16040,0,23-04-2019 14:45,344,2680.05985,5.984940972,0.12,7.813585567
16,16,470,442782547,BBCIndia,21-12-2011 13:19,91,131943,343,India,0.3,0.833333333,0.433333333,254.2333333,17.13333333,16040,0,23-04-2019 14:45,344,2680.05985,5.984940972,0.12,7.813585567
17,17,480,241069726,tamil_murasu,21-01-2011 11:33,61,1731,23,Chennai,0,1.666666667,0,0.1,0.233333333,780,0,23-04-2019 14:45,24,3014.133796,0.258780815,0.45,131.0492955
18,18,510,1704625526,TamilTheHindu,27-08-2013 12:52,15,366005,8,"Chennai, Tamil Nadu, India",1.833333333,1.1,0.066666667,1.466666667,12.06666667,120148,0,23-04-2019 14:45,9,2065.078507,58.18083893,0.33,258.1348134
19,19,540,128609455,maalaimalar,01-04-2010 16:54,136,170508,450,"Chennai, India",1.466666667,1.166666667,0.3,1.8,8.5,191728,0,23-04-2019 14:45,451,3308.910532,57.94293866,1.12,7.353134516
20,20,570,134758540,timesofindia,19-04-2010 10:50,153,11751572,509,New Delhi,0.6,1.366666667,0.466666667,5.3,24.8,463028,0,23-04-2019 14:45,510,3291.163542,140.6882381,0.04,6.46594016
21,21,600,171825995,Andrew_Sesuraj,28-07-2010 07:35,87,624,451,"Chennai, India",0.066666667,0.866666667,0.1,0.033333333,0.633333333,515,0,23-04-2019 14:45,452,3191.299039,0.16137629,0.83,7.076051085
22,22,630,8.98615E+17,KarthiAk57,18-08-2017 18:37,23,1101,1238,India,0.266666667,0.333333333,1.333333333,51.43333333,0.2,3696,0,23-04-2019 14:45,1239,612.839294,6.030944876,3.36,0.495023662
23,23,660,88643957,anilachankunju,09-11-2009 11:26,119,32,2,New Delhi,0.133333333,0.6,0.633333333,86.46666667,0,27,0,23-04-2019 14:45,3,3452.138414,0.007821239,0.84,1726.069207
